True
0x00000040
6
2,Felucca,5443,1165,0,0
3,Felucca,5443,1164,0,0
8,Felucca,5441,1163,0,0
8,Felucca,5441,1164,0,0
8,Felucca,5441,1166,0,0
8,Felucca,5441,1165,0,0
0x00000041
6
2,Felucca,5443,1165,0,0
3,Felucca,5443,1164,0,0
8,Felucca,5441,1163,0,0
8,Felucca,5441,1164,0,0
8,Felucca,5441,1166,0,0
8,Felucca,5441,1165,0,0
0x00000042
6
2,Felucca,5443,1165,0,0
3,Felucca,5443,1164,0,0
8,Felucca,5441,1163,0,0
8,Felucca,5441,1164,0,0
8,Felucca,5441,1166,0,0
8,Felucca,5441,1165,0,0
0x00000043
6
2,Felucca,5443,1165,0,0
3,Felucca,5443,1164,0,0
8,Felucca,5441,1163,0,0
8,Felucca,5441,1164,0,0
8,Felucca,5441,1166,0,0
8,Felucca,5441,1165,0,0
